"Name","Sharename","Comment","ComputerName","PortName"
"NEPPRINTER09 - Color","NEPPRINTER09 - Color","10.212.48.19","NEPPRDPRINT1","10.212.48.19"
"NEPPRINTER09 - Black & White","NEPPRINTER09 - Black & White","10.212.48.19","NEPPRDPRINT1","10.212.48.19"
"NEPPRINTER08 - Roberto Alfaros Office - Color","NEPPRINTER08 - Roberto Alfaros Office - Color","CM2320 10.212.1.101","NEPPRDPRINT1","10.212.1.101"
"NEPPRINTER08 - Roberto Alfaros Office - Black & White","NEPPRINTER08 - Roberto Alfaros Office - Black & White","CM2320 10.212.1.130","NEPPRDPRINT1","10.212.1.101"
"NEPPRINTER07 - IT Office - Color","NEPPRINTER07 - IT Office - Color","M477fdn Color 10.212.1.130 - ID# 267975","NEPPRDPRINT1","10.212.1.130"
"NEPPRINTER07 - IT Office - Black & White","NEPPRINTER07 - IT Office - Black & White","M477 IP 10.212.0.226 - Black and White Default - ID# 267975","NEPPRDPRINT1","10.212.1.130"
"NEPPRINTER05 - 1923 Clean Rooms - Black & White","NEPPRINTER05 - 1923 Clean Rooms - Black & White","10.212.0.65 - ID# N0450 - Xerox","NEPPRDPRINT1","10.212.0.65"
"NEPPRINTER04 - 1933 Supervisors Office - Color","NEPPRINTER04 - 1933 Supervisors Office - Color","10.212.0.63 - ID# N5336 - Xerox","NEPPRDPRINT1","10.212.0.63"
"NEPPRINTER04 - 1933 Supervisors Office - Black & White","NEPPRINTER04 - 1933 Supervisors Office - Black & White","10.212.0.63 - ID# N5336 - Xerox","NEPPRDPRINT1","10.212.0.63"
"NEPPRINTER03 - 1933 Quality - Color","NEPPRINTER03 - 1933 Quality - Color","10.212.0.67 - ID# N0452 - Xerox","NEPPRDPRINT1","10.212.0.67"
"NEPPRINTER03 - 1933 Quality - Black & White","NEPPRINTER03 - 1933 Quality - Black & White","10.212.0.67 - ID# N0452 - Xerox","NEPPRDPRINT1","10.212.0.67"
"NEPPRINTER02 - 1933 Finance Hallway - Color","NEPPRINTER02 - 1933 Finance Hallway - Color","10.212.0.66 - ID# N0447 - Xerox","NEPPRDPRINT1","10.212.0.66"
"NEPPRINTER02 - 1933 Finance Hallway - Black & White","NEPPRINTER02 - 1933 Finance Hallway - Black & White","10.212.0.66 - ID# N0447 - Xerox","NEPPRDPRINT1","10.212.0.66"
"NEPPRINTER01 - 1923 Supervisors Area - Color","NEPPRINTER01 - 1923 Supervisors Area - Color","10.212.0.64 - ID# N5331- Xerox","NEPPRDPRINT1","10.212.0.64"
"NEPPRINTER01 - 1923 Supervisors Area - Black & White","NEPPRINTER01 - 1923 Supervisors Area - Black & White","10.212.0.64 - ID# N5331 - Xerox","NEPPRDPRINT1","10.212.0.64"
